version,date,num_downloads
0.1.0rc9,2024-10-02 00:00:00+00:00,53
0.1.0rc9,2024-10-03 00:00:00+00:00,5
0.1.0rc9,2024-10-04 00:00:00+00:00,29
0.1.0rc9,2024-10-05 00:00:00+00:00,51
0.1.0rc9,2024-10-06 00:00:00+00:00,69
0.1.0rc9,2024-10-07 00:00:00+00:00,76
0.1.0rc9,2024-10-08 00:00:00+00:00,41
0.1.0rc9,2024-10-09 00:00:00+00:00,24
0.1.0rc9,2024-10-10 00:00:00+00:00,29
0.1.0rc9,2024-10-11 00:00:00+00:00,25
0.1.0rc9,2024-10-12 00:00:00+00:00,42
0.1.0rc9,2024-10-13 00:00:00+00:00,52
0.1.0rc9,2024-10-14 00:00:00+00:00,33
0.1.0rc9,2024-10-15 00:00:00+00:00,62
0.1.0rc9,2024-10-16 00:00:00+00:00,84
0.1.0rc9,2024-10-17 00:00:00+00:00,75
0.1.0rc9,2024-10-18 00:00:00+00:00,77
0.1.0rc9,2024-10-19 00:00:00+00:00,43
0.1.0rc9,2024-10-20 00:00:00+00:00,40
0.1.0rc9,2024-10-21 00:00:00+00:00,44
0.1.0rc9,2024-10-22 00:00:00+00:00,47
0.1.0rc9,2024-10-23 00:00:00+00:00,26
0.1.0rc9,2024-10-24 00:00:00+00:00,46
0.1.0rc9,2024-10-25 00:00:00+00:00,65
0.1.0rc9,2024-10-26 00:00:00+00:00,26
0.1.0rc9,2024-10-27 00:00:00+00:00,2
0.1.0rc9,2024-10-28 00:00:00+00:00,5
0.1.0rc9,2024-10-29 00:00:00+00:00,51
0.1.0rc9,2024-10-30 00:00:00+00:00,83
0.1.0rc9,2024-10-31 00:00:00+00:00,62
0.1.0rc9,2024-11-01 00:00:00+00:00,2
0.1.0rc7,2024-10-02 00:00:00+00:00,6
0.1.0rc7,2024-10-03 00:00:00+00:00,3
0.1.0rc7,2024-10-04 00:00:00+00:00,27
0.1.0rc7,2024-10-05 00:00:00+00:00,50
0.1.0rc7,2024-10-06 00:00:00+00:00,66
0.1.0rc7,2024-10-07 00:00:00+00:00,70
0.1.0rc7,2024-10-08 00:00:00+00:00,40
0.1.0rc7,2024-10-09 00:00:00+00:00,23
0.1.0rc7,2024-10-10 00:00:00+00:00,29
0.1.0rc7,2024-10-11 00:00:00+00:00,23
0.1.0rc7,2024-10-12 00:00:00+00:00,43
0.1.0rc7,2024-10-13 00:00:00+00:00,52
0.1.0rc7,2024-10-14 00:00:00+00:00,33
0.1.0rc7,2024-10-15 00:00:00+00:00,61
0.1.0rc7,2024-10-16 00:00:00+00:00,84
0.1.0rc7,2024-10-17 00:00:00+00:00,72
0.1.0rc7,2024-10-18 00:00:00+00:00,66
0.1.0rc7,2024-10-19 00:00:00+00:00,37
0.1.0rc7,2024-10-20 00:00:00+00:00,41
0.1.0rc7,2024-10-21 00:00:00+00:00,42
0.1.0rc7,2024-10-22 00:00:00+00:00,39
0.1.0rc7,2024-10-23 00:00:00+00:00,25
0.1.0rc7,2024-10-24 00:00:00+00:00,44
0.1.0rc7,2024-10-25 00:00:00+00:00,58
0.1.0rc7,2024-10-26 00:00:00+00:00,26
0.1.0rc7,2024-10-28 00:00:00+00:00,3
0.1.0rc7,2024-10-29 00:00:00+00:00,54
0.1.0rc7,2024-10-30 00:00:00+00:00,75
0.1.0rc7,2024-10-31 00:00:00+00:00,61
0.1.0rc7,2024-11-01 00:00:00+00:00,1
0.1.0,2024-10-27 00:00:00+00:00,1
