version,date,num_downloads
0.9.0,2024-06-30 00:00:00+00:00,2
0.9.0,2024-07-01 00:00:00+00:00,168
0.9.0,2024-07-02 00:00:00+00:00,127
0.9.0,2024-07-03 00:00:00+00:00,92
0.9.0,2024-07-04 00:00:00+00:00,20
0.9.0,2024-07-05 00:00:00+00:00,53
0.9.0,2024-07-07 00:00:00+00:00,36
0.9.0,2024-07-08 00:00:00+00:00,71
0.9.0,2024-07-09 00:00:00+00:00,48
0.9.0,2024-07-10 00:00:00+00:00,37
0.9.0,2024-07-11 00:00:00+00:00,29
0.9.0,2024-07-12 00:00:00+00:00,108
0.9.0,2024-07-14 00:00:00+00:00,4
0.9.0,2024-07-15 00:00:00+00:00,82
0.9.0,2024-07-16 00:00:00+00:00,63
0.9.0,2024-07-17 00:00:00+00:00,31
0.9.0,2024-07-18 00:00:00+00:00,1
0.9.0,2024-07-19 00:00:00+00:00,2
0.9.0,2024-07-20 00:00:00+00:00,1
0.9.0,2024-07-21 00:00:00+00:00,2
0.9.0,2024-07-22 00:00:00+00:00,6
0.9.0,2024-07-23 00:00:00+00:00,8
0.9.0,2024-07-24 00:00:00+00:00,6
0.9.0,2024-07-26 00:00:00+00:00,7
0.9.0,2024-07-30 00:00:00+00:00,3
0.8.0.post0,2024-06-30 00:00:00+00:00,6
0.8.0.post0,2024-07-01 00:00:00+00:00,13
0.8.0.post0,2024-07-02 00:00:00+00:00,16
0.8.0.post0,2024-07-03 00:00:00+00:00,20
0.8.0.post0,2024-07-04 00:00:00+00:00,34
0.8.0.post0,2024-07-05 00:00:00+00:00,26
0.8.0.post0,2024-07-06 00:00:00+00:00,50
0.8.0.post0,2024-07-07 00:00:00+00:00,52
0.8.0.post0,2024-07-08 00:00:00+00:00,60
0.8.0.post0,2024-07-09 00:00:00+00:00,47
0.8.0.post0,2024-07-10 00:00:00+00:00,57
0.8.0.post0,2024-07-11 00:00:00+00:00,14
0.8.0.post0,2024-07-12 00:00:00+00:00,22
0.8.0.post0,2024-07-13 00:00:00+00:00,8
0.8.0.post0,2024-07-14 00:00:00+00:00,24
0.8.0.post0,2024-07-15 00:00:00+00:00,6
0.8.0.post0,2024-07-16 00:00:00+00:00,4
0.8.0.post0,2024-07-17 00:00:00+00:00,21
0.8.0.post0,2024-07-18 00:00:00+00:00,79
0.8.0.post0,2024-07-19 00:00:00+00:00,50
0.8.0.post0,2024-07-20 00:00:00+00:00,24
0.8.0.post0,2024-07-22 00:00:00+00:00,1
0.8.0.post0,2024-07-23 00:00:00+00:00,5
0.8.0.post0,2024-07-26 00:00:00+00:00,8
0.8.0.post0,2024-07-29 00:00:00+00:00,1
0.8.0.post0,2024-07-30 00:00:00+00:00,2
0.8.0,2024-07-05 00:00:00+00:00,2
0.8.0,2024-07-10 00:00:00+00:00,5
0.8.0,2024-07-14 00:00:00+00:00,2
0.8.0,2024-07-19 00:00:00+00:00,4
0.8.0,2024-07-23 00:00:00+00:00,5
0.8.0,2024-07-26 00:00:00+00:00,4
0.8.0,2024-07-29 00:00:00+00:00,4
0.7.1,2024-07-05 00:00:00+00:00,2
0.7.1,2024-07-09 00:00:00+00:00,1
0.7.1,2024-07-10 00:00:00+00:00,5
0.7.1,2024-07-12 00:00:00+00:00,1
0.7.1,2024-07-14 00:00:00+00:00,2
0.7.1,2024-07-19 00:00:00+00:00,2
0.7.1,2024-07-23 00:00:00+00:00,1
0.7.0,2024-06-30 00:00:00+00:00,1
0.7.0,2024-07-05 00:00:00+00:00,2
0.7.0,2024-07-08 00:00:00+00:00,5
0.7.0,2024-07-10 00:00:00+00:00,5
0.7.0,2024-07-15 00:00:00+00:00,2
0.7.0,2024-07-19 00:00:00+00:00,2
0.7.0,2024-07-23 00:00:00+00:00,2
0.7.0,2024-07-24 00:00:00+00:00,3
0.7.0,2024-07-25 00:00:00+00:00,5
0.7.0,2024-07-26 00:00:00+00:00,2
0.7.0,2024-07-29 00:00:00+00:00,5
0.6.1,2024-06-30 00:00:00+00:00,1
0.6.1,2024-07-05 00:00:00+00:00,2
0.6.1,2024-07-10 00:00:00+00:00,5
0.6.1,2024-07-19 00:00:00+00:00,2
0.6.1,2024-07-23 00:00:00+00:00,1
0.6.0,2024-07-05 00:00:00+00:00,2
0.6.0,2024-07-10 00:00:00+00:00,5
0.6.0,2024-07-19 00:00:00+00:00,2
0.6.0,2024-07-23 00:00:00+00:00,1
0.5.0,2024-07-05 00:00:00+00:00,2
0.5.0,2024-07-10 00:00:00+00:00,5
0.5.0,2024-07-19 00:00:00+00:00,2
0.5.0,2024-07-23 00:00:00+00:00,1
0.4.0,2024-07-05 00:00:00+00:00,2
0.4.0,2024-07-10 00:00:00+00:00,4
0.4.0,2024-07-11 00:00:00+00:00,1
0.4.0,2024-07-23 00:00:00+00:00,1
