version,date,num_downloads
0.8.0.post0,2024-04-03 00:00:00+00:00,51
0.8.0.post0,2024-04-04 00:00:00+00:00,9
0.8.0.post0,2024-04-05 00:00:00+00:00,9
0.8.0.post0,2024-04-06 00:00:00+00:00,2
0.8.0.post0,2024-04-07 00:00:00+00:00,5
0.8.0.post0,2024-04-08 00:00:00+00:00,2
0.8.0.post0,2024-04-11 00:00:00+00:00,3
0.8.0.post0,2024-04-12 00:00:00+00:00,2
0.8.0.post0,2024-04-13 00:00:00+00:00,4
0.8.0.post0,2024-04-14 00:00:00+00:00,1
0.8.0.post0,2024-04-15 00:00:00+00:00,2
0.8.0.post0,2024-04-16 00:00:00+00:00,2
0.8.0.post0,2024-04-17 00:00:00+00:00,5
0.8.0.post0,2024-04-18 00:00:00+00:00,14
0.8.0.post0,2024-04-19 00:00:00+00:00,3
0.8.0.post0,2024-04-20 00:00:00+00:00,2
0.8.0,2024-04-02 00:00:00+00:00,50
0.8.0,2024-04-03 00:00:00+00:00,4
0.8.0,2024-04-04 00:00:00+00:00,7
0.8.0,2024-04-05 00:00:00+00:00,2
0.8.0,2024-04-08 00:00:00+00:00,2
0.8.0,2024-04-14 00:00:00+00:00,1
0.8.0,2024-04-16 00:00:00+00:00,5
0.8.0,2024-04-17 00:00:00+00:00,4
0.8.0,2024-04-18 00:00:00+00:00,1
0.7.1,2024-02-29 00:00:00+00:00,124
0.7.1,2024-03-01 00:00:00+00:00,2
0.7.1,2024-03-02 00:00:00+00:00,1
0.7.1,2024-03-03 00:00:00+00:00,2
0.7.1,2024-03-04 00:00:00+00:00,3
0.7.1,2024-03-05 00:00:00+00:00,2
0.7.1,2024-03-06 00:00:00+00:00,53
0.7.1,2024-03-07 00:00:00+00:00,23
0.7.1,2024-03-08 00:00:00+00:00,1
0.7.1,2024-03-09 00:00:00+00:00,8
0.7.1,2024-03-10 00:00:00+00:00,9
0.7.1,2024-03-11 00:00:00+00:00,11
0.7.1,2024-03-12 00:00:00+00:00,4
0.7.1,2024-03-13 00:00:00+00:00,2
0.7.1,2024-03-14 00:00:00+00:00,2
0.7.1,2024-03-15 00:00:00+00:00,1
0.7.1,2024-03-16 00:00:00+00:00,4
0.7.1,2024-03-17 00:00:00+00:00,6
0.7.1,2024-03-18 00:00:00+00:00,4465
0.7.1,2024-03-19 00:00:00+00:00,694
0.7.1,2024-03-20 00:00:00+00:00,7
0.7.1,2024-03-21 00:00:00+00:00,79
0.7.1,2024-03-22 00:00:00+00:00,13
0.7.1,2024-03-23 00:00:00+00:00,1
0.7.1,2024-03-25 00:00:00+00:00,12
0.7.1,2024-03-26 00:00:00+00:00,6
0.7.1,2024-03-27 00:00:00+00:00,1
0.7.1,2024-03-28 00:00:00+00:00,4
0.7.1,2024-03-29 00:00:00+00:00,3
0.7.1,2024-04-01 00:00:00+00:00,7
0.7.1,2024-04-02 00:00:00+00:00,3
0.7.1,2024-04-04 00:00:00+00:00,4
0.7.1,2024-04-05 00:00:00+00:00,2
0.7.1,2024-04-08 00:00:00+00:00,7
0.7.1,2024-04-09 00:00:00+00:00,6
0.7.1,2024-04-10 00:00:00+00:00,5
0.7.1,2024-04-11 00:00:00+00:00,3
0.7.1,2024-04-12 00:00:00+00:00,4
0.7.1,2024-04-17 00:00:00+00:00,4
0.7.0,2024-02-02 00:00:00+00:00,124
0.7.0,2024-02-03 00:00:00+00:00,31
0.7.0,2024-02-04 00:00:00+00:00,24
0.7.0,2024-02-05 00:00:00+00:00,21
0.7.0,2024-02-06 00:00:00+00:00,18
0.7.0,2024-02-07 00:00:00+00:00,11
0.7.0,2024-02-08 00:00:00+00:00,51
0.7.0,2024-02-09 00:00:00+00:00,94
0.7.0,2024-02-10 00:00:00+00:00,12
0.7.0,2024-02-11 00:00:00+00:00,32
0.7.0,2024-02-12 00:00:00+00:00,160
0.7.0,2024-02-13 00:00:00+00:00,96
0.7.0,2024-02-14 00:00:00+00:00,4
0.7.0,2024-02-15 00:00:00+00:00,7
0.7.0,2024-02-16 00:00:00+00:00,124
0.7.0,2024-02-17 00:00:00+00:00,6
0.7.0,2024-02-18 00:00:00+00:00,12
0.7.0,2024-02-19 00:00:00+00:00,12
0.7.0,2024-02-20 00:00:00+00:00,31
0.7.0,2024-02-21 00:00:00+00:00,61
0.7.0,2024-02-22 00:00:00+00:00,16
0.7.0,2024-02-23 00:00:00+00:00,2
0.7.0,2024-02-24 00:00:00+00:00,2
0.7.0,2024-02-25 00:00:00+00:00,3
0.7.0,2024-02-26 00:00:00+00:00,8
0.7.0,2024-02-27 00:00:00+00:00,19
0.7.0,2024-02-28 00:00:00+00:00,62
0.7.0,2024-02-29 00:00:00+00:00,37
0.7.0,2024-03-01 00:00:00+00:00,6
0.7.0,2024-03-02 00:00:00+00:00,1
0.7.0,2024-03-03 00:00:00+00:00,2
0.7.0,2024-03-04 00:00:00+00:00,2
0.7.0,2024-03-05 00:00:00+00:00,8
0.7.0,2024-03-06 00:00:00+00:00,4
0.7.0,2024-03-07 00:00:00+00:00,11
0.7.0,2024-03-08 00:00:00+00:00,2
0.7.0,2024-03-10 00:00:00+00:00,3
0.7.0,2024-03-11 00:00:00+00:00,4
0.7.0,2024-03-12 00:00:00+00:00,25
0.7.0,2024-03-13 00:00:00+00:00,28
0.7.0,2024-03-14 00:00:00+00:00,4
0.7.0,2024-03-15 00:00:00+00:00,11
0.7.0,2024-03-16 00:00:00+00:00,2
0.7.0,2024-03-17 00:00:00+00:00,2
0.7.0,2024-03-18 00:00:00+00:00,6
0.7.0,2024-03-19 00:00:00+00:00,16
0.7.0,2024-03-20 00:00:00+00:00,24
0.7.0,2024-03-21 00:00:00+00:00,69
0.7.0,2024-03-22 00:00:00+00:00,19
0.7.0,2024-03-25 00:00:00+00:00,1
0.7.0,2024-03-26 00:00:00+00:00,17
0.7.0,2024-03-27 00:00:00+00:00,2
0.7.0,2024-03-28 00:00:00+00:00,3
0.7.0,2024-03-29 00:00:00+00:00,36
0.7.0,2024-03-30 00:00:00+00:00,1
0.7.0,2024-04-01 00:00:00+00:00,22
0.7.0,2024-04-02 00:00:00+00:00,8
0.7.0,2024-04-03 00:00:00+00:00,1
0.7.0,2024-04-04 00:00:00+00:00,4
0.7.0,2024-04-05 00:00:00+00:00,3
0.7.0,2024-04-06 00:00:00+00:00,1
0.7.0,2024-04-07 00:00:00+00:00,2
0.7.0,2024-04-08 00:00:00+00:00,2
0.7.0,2024-04-09 00:00:00+00:00,12
0.7.0,2024-04-10 00:00:00+00:00,13
0.7.0,2024-04-11 00:00:00+00:00,13
0.7.0,2024-04-12 00:00:00+00:00,26
0.7.0,2024-04-13 00:00:00+00:00,2
0.7.0,2024-04-14 00:00:00+00:00,2
0.7.0,2024-04-15 00:00:00+00:00,3
0.7.0,2024-04-16 00:00:00+00:00,80
0.7.0,2024-04-17 00:00:00+00:00,10
0.7.0,2024-04-18 00:00:00+00:00,15
0.7.0,2024-04-19 00:00:00+00:00,9
0.7.0,2024-04-20 00:00:00+00:00,5
0.7.0,2024-04-21 00:00:00+00:00,24
0.7.0,2024-04-22 00:00:00+00:00,8
0.6.1,2024-01-08 00:00:00+00:00,123
0.6.1,2024-01-09 00:00:00+00:00,38
0.6.1,2024-01-10 00:00:00+00:00,32
0.6.1,2024-01-11 00:00:00+00:00,10
0.6.1,2024-01-12 00:00:00+00:00,20
0.6.1,2024-01-13 00:00:00+00:00,15
0.6.1,2024-01-14 00:00:00+00:00,9
0.6.1,2024-01-15 00:00:00+00:00,68
0.6.1,2024-01-16 00:00:00+00:00,35
0.6.1,2024-01-17 00:00:00+00:00,51
0.6.1,2024-01-18 00:00:00+00:00,54
