date,count,unique
2023-12-06 00:00:00+00:00,22,6
2023-12-07 00:00:00+00:00,73,10
2023-12-08 00:00:00+00:00,176,8
2023-12-09 00:00:00+00:00,1,1
2023-12-10 00:00:00+00:00,2,1
2023-12-11 00:00:00+00:00,207,12
2023-12-12 00:00:00+00:00,121,12
2023-12-13 00:00:00+00:00,56,8
2023-12-14 00:00:00+00:00,95,9
2023-12-15 00:00:00+00:00,75,13
2023-12-16 00:00:00+00:00,33,2
2023-12-17 00:00:00+00:00,6,4
2023-12-18 00:00:00+00:00,118,6
2023-12-19 00:00:00+00:00,36,6
2023-12-20 00:00:00+00:00,1,1
2023-12-21 00:00:00+00:00,4,1
2023-12-22 00:00:00+00:00,74,13
2023-12-23 00:00:00+00:00,9,4
2023-12-24 00:00:00+00:00,55,3
2023-12-25 00:00:00+00:00,8,3
2023-12-26 00:00:00+00:00,1,1
2023-12-28 00:00:00+00:00,17,2
2023-12-29 00:00:00+00:00,18,3
2023-12-31 00:00:00+00:00,5,2
2024-01-01 00:00:00+00:00,1,1
2024-01-02 00:00:00+00:00,34,3
2024-01-03 00:00:00+00:00,60,11
2024-01-04 00:00:00+00:00,66,4
2024-01-05 00:00:00+00:00,93,8
2024-01-06 00:00:00+00:00,23,3
2024-01-07 00:00:00+00:00,15,3
2024-01-08 00:00:00+00:00,53,6
2024-01-09 00:00:00+00:00,57,8
2024-01-10 00:00:00+00:00,14,3
2024-01-11 00:00:00+00:00,17,6
2024-01-12 00:00:00+00:00,8,3
2024-01-13 00:00:00+00:00,106,4
2024-01-14 00:00:00+00:00,188,5
2024-01-15 00:00:00+00:00,14,7
2024-01-16 00:00:00+00:00,52,5
2024-01-17 00:00:00+00:00,36,6
2024-01-18 00:00:00+00:00,13,4
2024-01-19 00:00:00+00:00,43,6
2024-01-20 00:00:00+00:00,1,1
2024-01-21 00:00:00+00:00,5,4
2024-01-22 00:00:00+00:00,56,5
2024-01-23 00:00:00+00:00,67,10
2024-01-24 00:00:00+00:00,46,9
2024-01-25 00:00:00+00:00,96,7
2024-01-26 00:00:00+00:00,102,9
2024-01-27 00:00:00+00:00,1,1
2024-01-28 00:00:00+00:00,7,2
2024-01-29 00:00:00+00:00,22,6
2024-01-30 00:00:00+00:00,34,9
2024-01-31 00:00:00+00:00,19,5
2024-02-01 00:00:00+00:00,7,4
2024-02-02 00:00:00+00:00,6,4
2024-02-03 00:00:00+00:00,6,2
2024-02-04 00:00:00+00:00,2,2
2024-02-05 00:00:00+00:00,25,7
2024-02-06 00:00:00+00:00,21,8
2024-02-07 00:00:00+00:00,29,9
2024-02-08 00:00:00+00:00,21,6
2024-02-09 00:00:00+00:00,32,10
2024-02-10 00:00:00+00:00,7,2
2024-02-12 00:00:00+00:00,86,9
2024-02-13 00:00:00+00:00,20,5
2024-02-14 00:00:00+00:00,31,8
2024-02-15 00:00:00+00:00,7,5
2024-02-16 00:00:00+00:00,22,5
2024-02-17 00:00:00+00:00,1,1
2024-02-18 00:00:00+00:00,1,1
2024-02-19 00:00:00+00:00,36,5
2024-02-20 00:00:00+00:00,6,5
2024-02-21 00:00:00+00:00,34,6
2024-02-22 00:00:00+00:00,11,3
2024-02-23 00:00:00+00:00,2,2
2024-02-25 00:00:00+00:00,1,1
2024-02-26 00:00:00+00:00,9,3
2024-02-27 00:00:00+00:00,11,9
2024-02-28 00:00:00+00:00,81,7
2024-02-29 00:00:00+00:00,13,4
2024-03-02 00:00:00+00:00,15,1
2024-03-03 00:00:00+00:00,7,2
2024-03-04 00:00:00+00:00,19,5
2024-03-05 00:00:00+00:00,32,6
2024-03-06 00:00:00+00:00,50,5
2024-03-07 00:00:00+00:00,39,4
2024-03-08 00:00:00+00:00,14,8
2024-03-09 00:00:00+00:00,1,1
2024-03-11 00:00:00+00:00,44,5
2024-03-12 00:00:00+00:00,7,5
2024-03-13 00:00:00+00:00,29,4
2024-03-14 00:00:00+00:00,3,2
2024-03-15 00:00:00+00:00,45,6
2024-03-17 00:00:00+00:00,6,4
2024-03-18 00:00:00+00:00,14,2
2024-03-19 00:00:00+00:00,29,7
2024-03-20 00:00:00+00:00,45,6
2024-03-21 00:00:00+00:00,6,5
2024-03-22 00:00:00+00:00,4,1
2024-03-23 00:00:00+00:00,6,2
2024-03-25 00:00:00+00:00,7,5
2024-03-26 00:00:00+00:00,9,6
2024-03-27 00:00:00+00:00,11,2
2024-03-28 00:00:00+00:00,19,3
2024-03-29 00:00:00+00:00,21,3
2024-03-30 00:00:00+00:00,2,1
2024-03-31 00:00:00+00:00,36,1
2024-04-01 00:00:00+00:00,13,5
2024-04-02 00:00:00+00:00,30,6
2024-04-03 00:00:00+00:00,1,1
2024-04-04 00:00:00+00:00,19,5
2024-04-05 00:00:00+00:00,1,1
2024-04-07 00:00:00+00:00,1,1
2024-04-08 00:00:00+00:00,78,7
2024-04-09 00:00:00+00:00,1,1
2024-04-10 00:00:00+00:00,59,9
2024-04-11 00:00:00+00:00,52,7
2024-04-12 00:00:00+00:00,1,1
2024-04-15 00:00:00+00:00,32,6
2024-04-16 00:00:00+00:00,2,2
2024-04-17 00:00:00+00:00,7,3
2024-04-18 00:00:00+00:00,10,3
2024-04-19 00:00:00+00:00,5,2
2024-04-20 00:00:00+00:00,4,2
2024-04-21 00:00:00+00:00,6,2
2024-04-22 00:00:00+00:00,17,4
2024-04-23 00:00:00+00:00,33,3
2024-04-24 00:00:00+00:00,16,4
2024-04-25 00:00:00+00:00,5,2
2024-04-26 00:00:00+00:00,24,5
2024-04-29 00:00:00+00:00,25,10
2024-04-30 00:00:00+00:00,77,5
2024-05-01 00:00:00+00:00,6,3
2024-05-02 00:00:00+00:00,74,4
2024-05-03 00:00:00+00:00,10,4
2024-05-05 00:00:00+00:00,1,1
2024-05-06 00:00:00+00:00,9,5
2024-05-07 00:00:00+00:00,13,5
2024-05-09 00:00:00+00:00,3,2
2024-05-10 00:00:00+00:00,4,2
2024-05-11 00:00:00+00:00,32,2
2024-05-13 00:00:00+00:00,32,5
2024-05-14 00:00:00+00:00,12,4
2024-05-15 00:00:00+00:00,2,2
2024-05-16 00:00:00+00:00,19,6
2024-05-17 00:00:00+00:00,47,8
2024-05-18 00:00:00+00:00,1,1
2024-05-20 00:00:00+00:00,3,3
2024-05-21 00:00:00+00:00,17,7
2024-05-22 00:00:00+00:00,8,4
2024-05-23 00:00:00+00:00,5,3
2024-05-24 00:00:00+00:00,73,2
2024-05-25 00:00:00+00:00,1,1
2024-05-26 00:00:00+00:00,7,1
2024-05-27 00:00:00+00:00,13,3
2024-05-28 00:00:00+00:00,9,3
2024-05-29 00:00:00+00:00,52,4
2024-05-30 00:00:00+00:00,21,7
2024-05-31 00:00:00+00:00,22,5
2024-06-01 00:00:00+00:00,5,2
2024-06-03 00:00:00+00:00,38,2
2024-06-04 00:00:00+00:00,34,4
2024-06-05 00:00:00+00:00,17,3
2024-06-06 00:00:00+00:00,3,1
2024-06-07 00:00:00+00:00,12,2
2024-06-09 00:00:00+00:00,5,2
2024-06-10 00:00:00+00:00,15,3
2024-06-11 00:00:00+00:00,2,2
2024-06-12 00:00:00+00:00,5,4
2024-06-13 00:00:00+00:00,9,5
2024-06-14 00:00:00+00:00,13,2
2024-06-17 00:00:00+00:00,2,1
2024-06-18 00:00:00+00:00,58,6
2024-06-19 00:00:00+00:00,5,2
2024-06-21 00:00:00+00:00,50,2
2024-06-22 00:00:00+00:00,1,1
2024-06-23 00:00:00+00:00,1,1
2024-06-24 00:00:00+00:00,1,1
2024-06-25 00:00:00+00:00,6,1
2024-06-26 00:00:00+00:00,32,6
2024-06-27 00:00:00+00:00,42,6
2024-06-28 00:00:00+00:00,3,1
2024-07-01 00:00:00+00:00,5,3
2024-07-02 00:00:00+00:00,1,1
