date,count,unique
2024-01-31 00:00:00+00:00,44,4
2024-02-01 00:00:00+00:00,198,23
2024-02-02 00:00:00+00:00,124,9
2024-02-03 00:00:00+00:00,2,2
2024-02-05 00:00:00+00:00,34,9
2024-02-06 00:00:00+00:00,9,5
2024-02-07 00:00:00+00:00,30,5
2024-02-08 00:00:00+00:00,90,9
2024-02-09 00:00:00+00:00,35,6
2024-02-10 00:00:00+00:00,1,1
2024-02-11 00:00:00+00:00,1,1
2024-02-12 00:00:00+00:00,84,11
2024-02-13 00:00:00+00:00,28,7
2024-02-14 00:00:00+00:00,15,5
2024-02-15 00:00:00+00:00,25,5
2024-02-16 00:00:00+00:00,18,3
2024-02-19 00:00:00+00:00,73,9
2024-02-20 00:00:00+00:00,18,3
2024-02-21 00:00:00+00:00,5,1
2024-02-22 00:00:00+00:00,121,12
2024-02-25 00:00:00+00:00,18,3
2024-02-26 00:00:00+00:00,69,10
