version,date,num_downloads
0.3.0,2024-03-27 00:00:00+00:00,60
0.3.0,2024-03-28 00:00:00+00:00,9
0.3.0,2024-03-29 00:00:00+00:00,2
0.3.0,2024-03-30 00:00:00+00:00,2
0.3.0,2024-03-31 00:00:00+00:00,2
0.3.0,2024-04-02 00:00:00+00:00,5
0.3.0,2024-04-07 00:00:00+00:00,1
0.3.0,2024-04-09 00:00:00+00:00,2
0.3.0,2024-04-13 00:00:00+00:00,1
0.3.0,2024-04-15 00:00:00+00:00,50
0.3.0,2024-04-18 00:00:00+00:00,3
0.3.0,2024-04-20 00:00:00+00:00,1
0.3.0,2024-04-23 00:00:00+00:00,2
0.3.0,2024-04-24 00:00:00+00:00,1
0.3.0,2024-04-25 00:00:00+00:00,2
0.3.0,2024-05-01 00:00:00+00:00,2
0.3.0,2024-05-02 00:00:00+00:00,2
0.3.0,2024-05-03 00:00:00+00:00,1
0.3.0,2024-05-09 00:00:00+00:00,1
0.3.0,2024-05-13 00:00:00+00:00,4
0.3.0,2024-05-18 00:00:00+00:00,2
0.3.0,2024-05-24 00:00:00+00:00,1
0.3.0,2024-05-31 00:00:00+00:00,1
0.3.0,2024-06-04 00:00:00+00:00,1
0.3.0,2024-06-08 00:00:00+00:00,3
0.3.0,2024-06-09 00:00:00+00:00,1
0.3.0,2024-06-10 00:00:00+00:00,1
0.3.0,2024-06-11 00:00:00+00:00,2
0.3.0,2024-06-12 00:00:00+00:00,2
0.3.0,2024-06-15 00:00:00+00:00,2
0.3.0,2024-06-22 00:00:00+00:00,1
0.3.0,2024-06-24 00:00:00+00:00,1
0.3.0,2024-06-26 00:00:00+00:00,2
0.3.0,2024-06-27 00:00:00+00:00,1
0.3.0,2024-07-02 00:00:00+00:00,2
0.3.0,2024-07-06 00:00:00+00:00,2
0.3.0,2024-07-07 00:00:00+00:00,1
0.3.0,2024-07-13 00:00:00+00:00,2
0.3.0,2024-07-16 00:00:00+00:00,1
0.3.0,2024-07-18 00:00:00+00:00,1
0.3.0,2024-07-20 00:00:00+00:00,1
0.3.0,2024-07-21 00:00:00+00:00,4
0.3.0,2024-07-22 00:00:00+00:00,2
0.3.0,2024-07-23 00:00:00+00:00,1
0.3.0,2024-07-24 00:00:00+00:00,2
0.3.0,2024-07-27 00:00:00+00:00,2
0.3.0,2024-07-30 00:00:00+00:00,1
0.3.0,2024-08-03 00:00:00+00:00,2
0.3.0,2024-08-05 00:00:00+00:00,1
0.3.0,2024-08-08 00:00:00+00:00,4
0.3.0,2024-08-09 00:00:00+00:00,1
0.3.0,2024-08-14 00:00:00+00:00,2
0.3.0,2024-08-15 00:00:00+00:00,5
0.2.0,2024-03-04 00:00:00+00:00,122
0.2.0,2024-03-05 00:00:00+00:00,21
0.2.0,2024-03-06 00:00:00+00:00,12
0.2.0,2024-03-07 00:00:00+00:00,12
0.2.0,2024-03-08 00:00:00+00:00,2
0.2.0,2024-03-09 00:00:00+00:00,2
0.2.0,2024-03-10 00:00:00+00:00,12
0.2.0,2024-03-11 00:00:00+00:00,10
0.2.0,2024-03-12 00:00:00+00:00,4
0.2.0,2024-03-13 00:00:00+00:00,2
0.2.0,2024-03-14 00:00:00+00:00,1
0.2.0,2024-03-16 00:00:00+00:00,7
0.2.0,2024-03-18 00:00:00+00:00,12
0.2.0,2024-03-19 00:00:00+00:00,2
0.2.0,2024-03-20 00:00:00+00:00,8
0.2.0,2024-03-21 00:00:00+00:00,2
0.2.0,2024-03-23 00:00:00+00:00,1
0.2.0,2024-03-24 00:00:00+00:00,1
0.2.0,2024-03-27 00:00:00+00:00,1
0.2.0,2024-04-09 00:00:00+00:00,1
